from,to,vissim_route,07:15,07:30,07:45,08:00,16:30,16:45,17:00,17:15
1002,1003,10021003,0.109375,0.04225352112676056,0.10714285714285714,0.06,0.11538461538461539,0.07017543859649122,0.16666666666666666,0.10714285714285714
1002,1012,10021012,0.1156655844155844,0.11194439363453447,0.029761904761904764,0.06962962962962962,0.1665158371040724,0.14378730330982095,0.12172284644194757,0.18382352941176472
1002,1024,10021024,0.2541866883116883,0.23825410851794507,0.17261904761904764,0.21476671476671477,0.09489172592113769,0.10427024852263207,0.09609338691599005,0.09646715829188819
1002,1025,10021025,0.018599025974025973,0.01786905813884588,0.017261904761904763,0.005651755651755652,0.017952488687782805,0.016041576695789546,0.005194237130594056,0.004823357914594409
1002,1031,10021031,0.438405612244898,0.46702570351687595,0.5738135186960691,0.5787892831688453,0.45082804631824247,0.5204762475206628,0.5081971248388986,0.5014458254784803
1002,1034,10021034,0.06376808905380334,0.12265321506503811,0.09940076701821669,0.07116261678305474,0.15442728658414934,0.14524918535460354,0.10212573800590306,0.10629727176041519
1003,1002,10031002,0.09523809523809523,0.045454545454545456,0.13043478260869565,0.10256410256410256,0.15873015873015872,0.16666666666666666,0.18518518518518517,0.20754716981132076
1003,1012,10031012,0.11750154607297464,0.1115702479338843,0.028985507246376812,0.0664767331433998,0.15835667600373482,0.1288659793814433,0.11901789429879317,0.16315205327413984
1003,1024,10031024,0.2582213976499691,0.23745780467931557,0.1681159420289855,0.20504187170853838,0.09024209683873549,0.09344975103443441,0.09395797831785693,0.08561915332170605
1003,1025,10031025,0.018894248608534323,0.017809335350948665,0.01681159420289855,0.005395838729172063,0.017072829131652662,0.014376884774528368,0.005078809638803077,0.0042809576660853025
1003,1031,10031031,0.44536443148688043,0.46546478873239433,0.5588444703822585,0.5525811486882046,0.4287377831791153,0.46646456145719783,0.49690385539803417,0.4450568232171267
1003,1034,10031034,0.06478028094354624,0.12224327784891163,0.09680770353078494,0.06794030516658255,0.14686045611660303,0.1301761566857296,0.09985627716132743,0.09434384270962133
1014,1002,10141002,0.08430698739977091,0.13612244897959183,0.22760800842992623,0.21310109806891328,0.12469744926456897,0.11574571441916952,0.108499095840868,0.11312767041668298
1014,1003,10141003,0.15280641466208478,0.09857142857142857,0.08008429926238145,0.08905717531238166,0.05469186371253025,0.039235835396328654,0.0433996383363472,0.035161302967347416
1014,1012,10141012,0.010309278350515464,0.030612244897959183,0.007692307692307693,0.007194244604316547,0.007633587786259542,0.0036900369003690036,0.004219409282700422,0.011406844106463879
1014,1024,10141024,0.2468453608247423,0.20695602184535788,0.13692307692307693,0.17041950854900495,0.10742911668484187,0.11160478951728293,0.11395484924081432,0.11432709966115724
1014,1025,10141025,0.018061855670103093,0.01552170163840184,0.013692307692307693,0.004484723909184341,0.020324427480916032,0.017169967618043527,0.006159721580584558,0.0057163549830578616
1014,1031,10141031,0.4257437407952872,0.4056751940212705,0.4551543624161074,0.4592750105536957,0.5103928537770777,0.5570874038981578,0.6026588155984274,0.594283566337521
1014,1034,10141034,0.06192636229749632,0.10654096004599023,0.07884563758389262,0.05646823900250356,0.17483070129380562,0.1554662522506487,0.12110847012025813,0.12597716152776944
1022,1002,10221002,0.023624953857511996,0.03928042328042327,0.10722291407222914,0.0975018190637885,0.051363690976811247,0.04491492808113445,0.07578701904391762,0.05858438496602991
1022,1003,10221003,0.042820228866740494,0.02844444444444444,0.03772658087726581,0.04074702886247878,0.022527934638952304,0.015225399349537105,0.030314807617567042,0.018208660192144434
1022,1012,10221012,0.028792912513842743,0.04656084656084656,0.06717171717171717,0.05529953917050691,0.06896551724137931,0.06181089208152356,0.11970462495141858,0.06954841825645978
1022,1024,10221024,0.023809523809523808,0.02857142857142857,0.030303030303030304,0.03225806451612903,0.02857142857142857,0.024390243902439025,0.03225806451612903,0.024390243902439025
1022,1025,10221025,0.047619047619047616,0.02857142857142857,0.030303030303030304,0.03225806451612903,0.08571428571428572,0.04878048780487805,0.03225806451612903,0.07317073170731707
1022,1031,10221031,0.7275132275132276,0.6562285714285715,0.6198901769371569,0.6607016717683071,0.5533215755437978,0.6292682926829269,0.5909266161161805,0.6238523601966057
1022,1034,10221034,0.10582010582010581,0.17234285714285716,0.10738255033557048,0.0812338121026607,0.1895355673133451,0.17560975609756097,0.11875080323865828,0.13224520077900398
1025,1002,10251002,0.124031007751938,0.08592592592592592,0.16849315068493148,0.22389306599832914,0.11984861227922625,0.28645743020634645,0.09589377919842634,0.13344221020040148
1025,1003,10251003,0.2248062015503876,0.062222222222222213,0.059284627092846265,0.09356725146198829,0.05256518082422204,0.09710421362926999,0.038357511679370536,0.04147528154877343
1025,1012,10251012,0.1511627906976744,0.10185185185185185,0.10555555555555554,0.12698412698412698,0.16091954022988506,0.3942161339421614,0.1514629948364888,0.1584158415841584
1025,1024,10251024,0.25,0.5,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.1111111111111111,0.6428571428571429,0.3333333333333333
1025,1031,10251031,0.21825396825396826,0.198,0.28411633109619683,0.0989456609894566,0.0827617741197988,0.08686868686868687,0.05947638019351167,0.27503168567807346
1025,1034,10251034,0.031746031746031744,0.052,0.049217002237136466,0.0121654501216545,0.0283493369913123,0.02424242424242424,0.011952191235059759,0.05830164765525982
1031,1002,10311002,0.036848332402665225,0.046993888071138246,0.07714731600980951,0.111546723952739,0.11392951560634487,0.11116308042084587,0.10150782771805787,0.13455422861873817
1031,1003,10311003,0.06678760247983072,0.03403005687910011,0.027144426003451495,0.04661654135338346,0.04996908579225653,0.03768240014265962,0.040603131087223146,0.04182090889501321
1031,1012,10311012,0.044908905115748236,0.05570396215328888,0.04833031946955998,0.06326530612244897,0.15297202797202797,0.15298007724582513,0.16033031249826576,0.15973597359735975
1031,1024,10311024,0.7468504455467275,0.7556015918879138,0.7340394385602342,0.6355820105820107,0.49431818181818177,0.520892494929006,0.573284200829111,0.5118055555555555
1031,1025,10311025,0.004126245555506783,0.0035981028185138745,0.003633858606733833,0.004100529100529101,0.012674825174825176,0.00486815415821501,0.004514048825426071,0.011458333333333334
1031,1034,10311034,0.10047846889952153,0.10407239819004525,0.10970464135021098,0.1388888888888889,0.17613636363636365,0.1724137931034483,0.11976047904191617,0.140625
1034,1002,10341002,0.03227495781368195,0.046872691712476384,0.06437126083310037,0.11399355531686357,0.08672226833764089,0.07799345158559348,0.07047236565308855,0.11671745318861783
1034,1003,10341003,0.05849836103729853,0.033942293998689796,0.022649147330164942,0.0476390977443609,0.038036082604228465,0.026438458164607964,0.028188946261235418,0.03627704626132716
1034,1012,10341012,0.03933510483542487,0.055560302676426754,0.04032653061224489,0.06465306122448979,0.11644112754574473,0.10733279613215149,0.11131019805718602,0.13856105610561056
1034,1024,10341024,0.6541562413122046,0.753652909510382,0.6124781341107872,0.6495238095238096,0.376271186440678,0.36546489563567364,0.39800569800569807,0.44395959595959594
1034,1025,10341025,0.003614122880177926,0.003588823378620866,0.0030320699708454813,0.004190476190476191,0.009647979139504563,0.003415559772296015,0.003133903133903134,0.00993939393939394
1034,1031,10341031,0.21212121212121213,0.10638297872340426,0.2571428571428571,0.12,0.3728813559322034,0.41935483870967744,0.3888888888888889,0.2545454545454545
