label,volume_07:15,volume_load_AM,volume_07:30,volume_07:45,volume_08:00,volume_16:30,volume_load_PM,volume_16:45,volume_17:00,volume_17:15,truck_pct_07:15,truck_pct_load_AM,truck_pct_07:30,truck_pct_07:45,truck_pct_08:00,truck_pct_16:30,truck_pct_load_PM,truck_pct_16:45,truck_pct_17:00,truck_pct_17:15
1002,256,256,284,224,200,208,208,228,216,224,0.109375,0.109375,0.028169014084507043,0.08928571428571429,0.12,0.1346153846153846,0.1346153846153846,0.07017543859649122,0.018518518518518517,0.017857142857142856
1003,84,84,88,92,156,252,252,192,216,212,0.2857142857142857,0.2857142857142857,0.13636363636363635,0.17391304347826086,0.1282051282051282,0.015873015873015872,0.015873015873015872,0.08333333333333333,0.05555555555555555,0.03773584905660377
1014,388,388,392,520,556,1048,1048,1084,948,1052,0.08247422680412371,0.08247422680412371,0.08163265306122448,0.038461538461538464,0.1510791366906475,0.03816793893129771,0.03816793893129771,0.01107011070110701,0.008438818565400843,0.011406844106463879
1022,168,168,140,132,124,140,140,164,124,164,0.07142857142857142,0.07142857142857142,0.05714285714285714,0.030303030303030304,0.06451612903225806,0.17142857142857143,0.17142857142857143,0.04878048780487805,0.03225806451612903,0.12195121951219512
1025,16,16,16,12,36,36,36,36,56,12,0.25,0.25,0.25,0,0.5555555555555556,0,0,0,0.07142857142857142,0
1031,836,836,884,948,720,704,704,580,668,768,0,0,0,0,0,0,0,0,0,0
1034,132,132,188,140,200,236,236,248,216,220,0,0,0,0,0,0,0,0,0,0
