"Crash ID","Crash Date Time","Year","Full Route Name","Milepoint","Crash Severity","Manner of Collision","Roadway Junction Type ","Light Condition","Weather Condition","Roadway Surface Condition","Number of Vehicles Involved","Route Type","Crash Verified","Crash Type"
"821675047","02/25/2021 12:30 PM",2021,"0115P",0.702,"No injury/PDO","Sideswipe Same Direction","4-Leg Intersection","Daylight","Clear","Dry",2,"State",true,"Other"
"821676640","03/17/2021 03:12 PM",2021,"0115P",0.673,"No injury/PDO","Angle","Business Drive","Daylight","Clear","Dry",2,"State",true,"Mid-Block Urban"
"821681060","04/10/2021 03:41 PM",2021,"0115P",0.723,"No injury/PDO","Sideswipe Same Direction","Ramp Intersection With Crossroad","Daylight","Clear","Dry",2,"State",true,"Other"
"821685058","04/30/2021 10:01 PM",2021,"0015NR25003",0.179,"No injury/PDO","Sideswipe Same Direction","Off-Ramp","Dark - Lighted","Clear","Dry",2,"State",true,"Other"
"821702919","08/12/2021 02:18 PM",2021,"0015NR25007",0.004,"No injury/PDO","Front to Rear","Off-Ramp","Daylight","Clear","Dry",2,"State",true,"Rear-End"
"821703406","08/09/2021 03:40 PM",2021,"0115P",0.664,"No injury/PDO","Sideswipe Same Direction","No Special Feature/Junction","Daylight","Clear","Dry",2,"State",true,"Other"
"821711735","09/27/2021 10:01 AM",2021,"0115P",0.687,"Suspected Minor Injury","Sideswipe Same Direction","No Special Feature/Junction","Daylight","Clear","Dry",2,"State",true,"Other"
"821714404","10/05/2021 04:10 PM",2021,"0015PR25002",0.016,"Possible injury","Not Applicable/Single Vehicle","On-Ramp Merge Area (Acceleration Lane)","Daylight","Rain","Wet",1,"State",true,"Roadway Departure"
"821723681","11/30/2021 02:25 PM",2021,"0015NR25007",0.026,"No injury/PDO","Sideswipe Same Direction","No Special Feature/Junction","Daylight","Cloudy","Dry",2,"State",true,"Other"
"821724678","12/05/2021 04:05 PM",2021,"0015PR25001",0.209,"No injury/PDO","Angle","Ramp Intersection With Crossroad","Daylight","Clear","Dry",2,"State",true,"Other"
"822736704","02/02/2022 07:16 AM",2022,"0115P",0.687,"No injury/PDO","Angle","Ramp Intersection With Crossroad","Dawn","Snowing","Snow",2,"State",true,"Other"
"822740204","02/21/2022 02:40 PM",2022,"0115P",0.806,"No injury/PDO","Front to Rear","No Special Feature/Junction","Daylight","Snowing","Snow",2,"State",true,"Rear-End"
"822749764","04/05/2022 07:02 PM",2022,"0115P",0.842,"No injury/PDO","Front to Rear","4-Leg Intersection","Daylight","Clear","Dry",2,"State",true,"Rear-End"
"822750121","04/11/2022 03:49 PM",2022,"0115P",0.781,"No injury/PDO","Not Applicable/Single Vehicle","Bridge (overpass/underpass)","Daylight","Cloudy","Dry",1,"State",true,"Roadway Departure"
"822765770","06/24/2022 12:10 PM",2022,"0015NR25007",0.012,"No injury/PDO","Front to Rear","4-Leg Intersection","Daylight","Clear","Dry",2,"State",true,"Rear-End"
"822771025","08/16/2022 05:22 AM",2022,"0115P",0.852,"No injury/PDO","Angle","T-Intersection","Dark - Not Lighted","Clear","Dry",2,"State",true,"Other"
"822782103","09/19/2022 07:00 PM",2022,"0015NR25003",0.17,"Possible injury","Front to Rear","Ramp Intersection With Crossroad","Daylight","Clear","Dry",2,"State",true,"Rear-End"
"822782923","10/12/2022 07:41 PM",2022,"0115P",0.644,"No injury/PDO","Front to Rear","No Special Feature/Junction","Dark - Lighted","Clear","Dry",2,"State",true,"Rear-End"
"822797374","12/20/2022 05:03 PM",2022,"0015NR25007",0.035,"No injury/PDO","Angle","Ramp Intersection With Crossroad","Dark - Lighted","Clear","Dry",3,"State",true,"Other"
